Geneid,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1
b2289,7.722016132,6.428262817,6.464931502,6.525352594,6.782137562,6.73804796,6.675845073,7.609429636,7.586287584,7.464096492,7.684441732,7.644918125
b2290,7.804293381,8.091010239,7.94650069,7.995210226,8.238523706,8.390931048,8.443357451,7.690685683,7.763455798,7.761733014,7.594895195,7.704318184
b2291,4.692318983,4.562354708,4.777590165,4.715549658,4.929620406,5.025668503,5.174137148,4.525122796,4.619863765,4.623834232,4.653498801,4.61489294
b2292,4.680123107,4.963461083,4.987728749,4.884922459,4.993903682,5.018514055,4.959436103,4.689430695,4.795725042,4.869066685,5.0182766,4.902471765
b2293,7.035562413,7.021743499,6.929465775,6.916189829,7.372915836,7.101499621,7.182869782,7.059541644,6.978415188,6.981797811,7.115028759,7.085643676
b2294,7.78838531,7.761120188,7.691854374,7.690388931,8.037933004,7.915154175,7.915842521,7.605568454,7.682889892,7.66342169,7.66228727,7.771815897
b2295,8.432873479,8.190921024,8.082602442,8.225293729,8.200551476,8.042067472,8.183514447,8.347018399,8.37842999,8.30182069,8.436467841,8.267675142
b2296,8.324161104,8.441213684,8.392785104,8.418042002,8.996860963,8.919052151,8.893887843,8.122385523,8.22016856,8.149482832,8.236268167,8.276646278
b2297,6.781823864,7.011339187,7.048125626,7.077458117,7.480076098,7.605717746,7.570070675,6.717934222,6.861111201,6.767982984,6.843944764,6.920890754
b2298,2.594706495,3.216796134,2.886728634,3.013892815,3.180214853,3.105715794,3.316761998,2.565089773,2.345128045,2.550660452,2.393983787,2.84417721
b2299,7.604647955,7.881898539,7.921856887,7.978245235,7.895423714,8.006079049,7.971883646,7.29434932,7.447957834,7.397959553,7.496815075,7.507834506
b2300,7.317259399,7.760529903,7.533112099,7.554928202,7.630773887,7.582575193,7.680601829,7.522371252,7.472185213,7.404474048,7.533641374,7.419216467
b2301,6.247489059,6.387338746,6.327934122,6.286549421,6.197367062,6.040454617,6.094935205,6.482137717,6.496780399,6.424506805,6.387154742,6.36384025
b2302,6.103054582,5.120468726,5.157010709,5.32722528,4.944271747,4.543665607,4.737938315,6.380993553,6.440107032,6.435279793,6.172494414,6.243795138
b2303,8.454379593,7.874161562,7.907195675,7.95591931,8.129122378,8.241105705,8.202092743,8.246438272,8.273717415,8.196919394,8.258828199,8.241280755
b2304,8.135819055,7.854622347,7.757207747,7.785071786,7.863338324,7.746769543,7.761131662,8.078062568,8.056043626,8.105403121,8.091593525,8.036502926
b2305,3.888056194,4.266141361,4.091688851,4.188200618,3.894648415,4.288285158,4.126271322,3.888060945,4.191980277,4.152014003,4.2784086,4.21362667
b2306,5.950654635,5.728000567,5.592707412,5.691345874,5.932466952,5.800644288,5.875459272,6.003151794,5.95303424,5.907548963,5.885076696,5.892699649
